sentence1,sentence2,condition,label
Two different pictures with a child picking an item off a store shelf and then eating a doughnut.,A boy sitting at a table with a doughnut and a bottle of water.,The food being eaten.,2
Legos build into a truck with a trailer on the back of it .,A perfectly painted truck carrying a matching boat look like die cast toys on a roadway.,The carrying object.,4
Legos build into a truck with a trailer on the back of it .,A perfectly painted truck carrying a matching boat look like die cast toys on a roadway.,The truck is on the road.,2
A tennis player dressed in a blue and black outfit is on a clay surfaced tennis court.,A woman in a yellow tennis dress readies a backhand on a court in the sun.,The name of the game.,5
A tennis player dressed in a blue and black outfit is on a clay surfaced tennis court.,A woman in a yellow tennis dress readies a backhand on a court in the sun.,The color of the outfit.,1
A kitchen filled with dishes and food with tables on top of white chairs.,A kitchen with a counter containing various items and rumpled newspaper falling out of a cabinet,The type of room.,5
A kitchen filled with dishes and food with tables on top of white chairs.,A kitchen with a counter containing various items and rumpled newspaper falling out of a cabinet,The items in the kitchen.,4
"An apple and a long, hearty sandwich cut in half sit on a cutting board.","A plate holding a sandwich with pickles, tomatoes, meat, mustard, cheese and lettuce on it. ",The name of the dish.,4
"An apple and a long, hearty sandwich cut in half sit on a cutting board.","A plate holding a sandwich with pickles, tomatoes, meat, mustard, cheese and lettuce on it. ",The name of the things.,3
A woman in a yellow car holds a dachshund in her lap a she smokes a cigarette.,a dog sitting in the driver's seat of the car like it wants to drive,The activity of people.,4
A woman in a yellow car holds a dachshund in her lap a she smokes a cigarette.,a dog sitting in the driver's seat of the car like it wants to drive,The color of object.,2
"A red stop sign says STOP and then in small lettering is the word ""Hating"" and power lines are in the background.","A pole with a number of street signs on it, including a stop sign,  rests in the foreground of a line of buildings. ",The meaning of the sign.,4
"A red stop sign says STOP and then in small lettering is the word ""Hating"" and power lines are in the background.","A pole with a number of street signs on it, including a stop sign,  rests in the foreground of a line of buildings. ",The number of signs.,2
A display of assorted wooden clocks on a shelf behind a sheet of glass.,"A wall with two doors and various wall hanging on it, including a clock a mirror and numbered coat hangers.",The number of product.,2
A display of assorted wooden clocks on a shelf behind a sheet of glass.,"A wall with two doors and various wall hanging on it, including a clock a mirror and numbered coat hangers.",The name of the product.,1
A woman sitting up in bed with her dog looking at her cat on a chair,A lady is smiling as she lays next to her dog on a bed.,The name of the animal.,4
A woman sitting up in bed with her dog looking at her cat on a chair,A lady is smiling as she lays next to her dog on a bed.,The name of the place.,2
a man sitting on a couch with a silver laptop in a living room,A computer desk topped with a monitor and a keyboard next to a  mouse.,Number of people.,4
a man sitting on a couch with a silver laptop in a living room,A computer desk topped with a monitor and a keyboard next to a  mouse.,Type of computer.,2
Lady with back to the camera and let up in the air playing tennis.,Woman in white shorts and blue shirt holding a tennis racket and a tennis ball.,The sport.,5
Lady with back to the camera and let up in the air playing tennis.,Woman in white shorts and blue shirt holding a tennis racket and a tennis ball.,The stage of the game.,4
Three plates of Italian food and a glass and bottle of wine on a table.,A slightly pair of cooked  pizzas sit on a wooden platter on a wooden table.,The place of the dish.,4
Three plates of Italian food and a glass and bottle of wine on a table.,A slightly pair of cooked  pizzas sit on a wooden platter on a wooden table.,The name of the dish.,3
A woman on skis on a slope with a plane flying by in the background.,A person makes a ski jump off a hill while other skiers look on.,The sport.,4
A woman on skis on a slope with a plane flying by in the background.,A person makes a ski jump off a hill while other skiers look on.,The number of people.,4
A corner of a restroom with a toilet tank and somewhat dirty toilet bowl without a lid.,A bathroom that has a toilet with a black toilet seat and white brick style walls.,Type of room.,4
A corner of a restroom with a toilet tank and somewhat dirty toilet bowl without a lid.,A bathroom that has a toilet with a black toilet seat and white brick style walls.,Cleanliness of toilet seat.,2
